state,num,FIPS,STEM Super Cluster
Alabama,6,01,17.46064533
Alaska,1,02,26.81440443
Arizona,23,04,24.52401509
Arkansas,4,05,26.35058861
California,30,06,22.92977055
Colorado,34,08,19.33102372
Connecticut,14,09,28.00970195
Delaware,48,10,24.57790456
District of Columbia,11,11,70.2
Florida,11,12,40.09634244
Georgia,41,13,23.63133584
Hawaii,0,15,21.8743252
Idaho,7,16,18.97114265
Illinois,18,17,22.46410684
Indiana,16,18,40.64350888
Iowa,33,19,7.32050502
Kansas,22,20,29.89202002
Kentucky,8,21,24.14451972
Louisiana,7,22,20.94675152
Maine,24,23,21.9721329
Maryland,106,24,27.30165376
Massachusetts,42,25,26.09256508
Michigan,21,26,27.67862912
Minnesota,165,27,4.066512454
Mississippi,3,28,25.64585294
Missouri,13,29,27.91121478
Montana,6,30,9.3594093
Nebraska,17,31,17.24325632
Nevada,55,32,25.41060623
New Hampshire,6,33,23.20675105
New Jersey,69,34,27.43855169
New Mexico,3,35,12.04583566
New York,48,36,39.02287286
North Carolina,19,37,24.40246512
North Dakota,16,38,18.93447462
Ohio,41,39,30.99157563
Oklahoma,9,40,42.9
Oregon,14,41,16.84428897
Pennsylvania,30,42,20.75756257
Puerto Rico,99,72,16
Rhode Island,51,44,29.16404337
South Carolina,6,45,35.69230769
South Dakota,25,46,16.28001836
Tennessee,25,47,28.86078692
Texas,26,48,25.50153303
Utah,13,49,20.97669256
Vermont,20,50,15.36547434
Virginia,75,51,31.97770911
Washington,73,53,28.37600816
West Virginia,1,54,25.23226663
Wisconsin,7,55,9.403193303
Wyoming,16,56,18.39954917
