state,num,FIPS,STEM Super Cluster
Alabama,6,01,30.24
Alaska,1,02,34.02
Arizona,23,04,30.82
Arkansas,4,05,48.72
California,30,06,35.88
Colorado,34,08,24.91
Connecticut,14,09,33.12
Delaware,48,10,42.47
District of Columbia,11,11,70.17
Florida,11,12,47.81
Georgia,41,13,32.87
Hawaii,0,15,29.86
Idaho,7,16,34.50
Illinois,18,17,33.50
Indiana,16,18,46.75
Iowa,33,19,24.13
Kansas,22,20,40.83
Kentucky,8,21,37.60
Louisiana,7,22,36.76
Maine,24,23,24.38
Maryland,106,24,32.60
Massachusetts,42,25,30.56
Michigan,21,26,34.40
Minnesota,165,27,15.54
Mississippi,3,28,46.51
Missouri,13,29,50.09
Montana,6,30,21.19
Nebraska,17,31,27.09
Nevada,55,32,30.29
New Hampshire,6,33,31.74
New Jersey,69,34,30.40
New Mexico,3,35,22.39
New York,48,36,41.40
North Carolina,19,37,42.38
North Dakota,16,38,30.92
Ohio,41,39,49.22
Oklahoma,9,40,46.51
Oregon,14,41,27.67
Pennsylvania,30,42,27.50
Puerto Rico,99,72,20.84
Rhode Island,51,44,33.17
South Carolina,6,45,41.46
South Dakota,25,46,36.08
Tennessee,25,47,41.22
Texas,26,48,36.27
Utah,13,49,32.60
Vermont,20,50,25.88
Virginia,75,51,35.97
Washington,73,53,32.78
West Virginia,1,54,37.31
Wisconsin,7,55,16.96
Wyoming,16,56,38.38
,,,
